ExhaustiveStarScheduler, TercioScheduler, 
0 77.05365324577629
1 77.05365324577629
2 77.05365324577629
3 77.05365324577629
4 73.45393728944627
5 77.05365324577629
6 73.45393728944627
7 73.45393728944627
8 77.05365324577629
9 77.05365324577629
10, 73.45393728944627, 73.45393728944627, 
0 72.6202857779505
1 63.93171008168496
2 63.93171008168496
3 63.93171008168496
4 63.93171008168496
5 72.6202857779505
6 66.7757997480877
7 66.7757997480877
8 66.7757997480877
9 72.6202857779505
10, 63.93171008168496, 63.93171008168496, 
0 62.417747422299186
1 61.97174686972546
2 62.73442487604827
3 62.69116107631851
4 62.014648587558746
5 62.33788514589179
6 65.36851938010967
7 62.011224587646105
8 70.75533607259621
9 69.29591480606828
10, 61.97174686972546, 61.75162104977285, 
0 61.79277749304899
1 61.79277749304899
2 61.3237439209695
3 61.3237439209695
4 61.84421106541747
5 61.3237439209695
6 61.3237439209695
7 69.80296443745229
8 61.3237439209695
9 61.792777493048995
10, 61.3237439209695, 61.3237439209695, 
0 57.274561087377705
1 61.677036226944466
2 61.4811964270433
3 61.677036226944466
4 61.677036226944466
5 56.79453220173352
6 61.87687260176081
7 58.691979423383444
8 61.4811964270433
9 61.4811964270433
10, 56.79453220173352, 56.79453220173352, 
0 65.27233004194457
1 61.963611203263824
2 65.61673710538304
3 61.963611203263824
4 64.93344783084686
5 62.906107992014896
6 65.27233004194457
7 62.30249341436153
8 61.963611203263824
9 65.27233004194457
10, 61.963611203263824, 61.963611203263824, 
0 61.45276251675778
1 61.45276251675778
2 61.45276251675778
3 62.555419182501296
4 57.72996901589876
5 57.72996901589876
6 62.415043568995586
7 60.733512467049614
8 63.004443309631256
9 59.06701486231635
10, 57.72996901589876, 57.72996901589876, 
0 62.38391201802841
1 65.31516939354756
2 62.59962821771586
3 65.26686181606091
4 65.31516939354756
5 64.89240597986569
6 62.17686480403399
7 62.59962821771586
8 65.1680645297245
9 65.26686181606091
10, 62.17686480403399, 61.786082308560566, 
0 63.44620291675445
1 63.44620291675445
2 63.29315687431159
3 58.48432289721599
4 63.984248926536246
5 64.1534478408564
6 63.51899013693479
7 63.518990136934775
8 63.29315687431159
9 63.47249842118856
10, 58.48432289721599, 58.48432289721599, 
0 58.21746218034903
1 58.21746218034903
2 58.21746218034903
3 58.21746218034903
4 56.589075045284346
5 64.06911440050682
6 58.480480623617204
7 62.8201388415764
8 64.06911440050682
9 58.480480623617204
10, 56.589075045284346, 56.589075045284346, 
0 62.37164059329817
1 65.93066914105891
2 65.66659379266483
3 63.288066198596724
4 61.845424763375256
5 63.288066198596724
6 62.68653616506805
7 61.84542476337526
8 61.95938763807365
9 61.845424763375256
10, 61.845424763375256, 61.845424763375256, 
0 72.7512173745411
1 72.980550301958
2 64.75770665813587
3 72.03526580031095
4 72.980550301958
5 72.03526580031095
6 70.50835268046785
7 72.7512173745411
8 64.55739755063249
9 70.73768560788476
10, 64.55739755063249, 62.32056829055165, 
0 55.41765198876188
1 58.595402823934656
2 56.544151409338596
3 57.699388947551505
4 59.129484226141365
5 62.885782419462494
6 58.595402823934656
7 60.64616729074722
8 60.64616729074722
9 56.544151409338596
10, 55.41765198876188, 55.41765198876188, 
0 61.50828937943899
1 61.661071703960594
2 61.661071703960594
3 61.895693416134094
4 61.58991838865126
5 61.661071703960594
6 60.79300113960457
7 62.00311180877104
8 61.50828937943899
9 61.50828937943899
10, 60.79300113960457, 60.79300113960458, 
0 66.38004382418589
1 65.6798609553709
2 62.78643269941429
3 65.6798609553709
4 65.67986095537088
5 65.6798609553709
6 65.67986095537088
7 69.46984322738113
8 65.6798609553709
9 65.6798609553709
10, 62.78643269941429, 61.19429446415165, 
0 76.28688835771007
1 73.65248169677373
2 73.65248169677373
3 76.28688835771007
4 76.28688835771007
5 73.65248169677373
6 76.28688835771007
7 73.65248169677373
8 73.65248169677373
9 76.28688835771007
10, 73.65248169677373, 72.95422527353571, 
0 61.23870543683434
1 61.3530265721583
2 61.23870543683434
3 61.23870543683434
4 61.35744065853397
5 61.3530265721583
6 61.820791851620086
7 61.3530265721583
8 61.68264260153042
9 61.73668281352838
10, 61.23870543683434, 57.60098902199114, 
0 63.05571986339876
1 70.38238703669967
2 63.05571986339876
3 70.38238703669967
4 70.38238703669967
5 70.38238703669967
6 63.05571986339876
7 70.38238703669967
8 63.05571986339876
9 63.7548344509296
10, 63.05571986339876, 63.05571986339876, 
0 63.428620896474754
1 64.57340730840227
2 63.24604810767661
3 63.428620896474754
4 63.47535818384273
5 63.428620896474754
6 63.428620896474754
7 63.428620896474754
8 63.428620896474754
9 63.428620896474754
10, 63.24604810767661, 63.24604810767661, 
0 72.07260908034931
1 66.26426140112521
2 64.71403743794104
3 71.74234649144296
4 72.0516468000151
5 64.12327108558446
6 62.55208484206611
7 65.67349504876861
8 64.71403743794104
9 65.67349504876861
10, 62.55208484206611, 62.507389981525165, 
0 73.38279213025587
1 66.85993909770806
2 73.38279213025587
3 73.38279213025587
4 74.32646555427695
5 69.90867238553494
6 74.18912521015997
7 74.18912521015997
8 74.18912521015997
9 74.18912521015997
10, 66.85993909770806, 63.75425769242862, 
0 68.16645311952384
1 65.75651499581161
2 76.40442505383581
3 65.5885660242629
4 74.31016207091521
5 74.09414198620017
6 74.31016207091521
7 68.16645311952384
8 74.31016207091521
9 76.40442505383581
10, 65.5885660242629, 65.5885660242629, 
0 62.1524340710699
1 61.91299672321779
2 61.91299672321779
3 62.37251133536759
4 62.068009731246036
5 61.91299672321779
6 61.91299672321779
7 61.37160750968437
8 61.749407136785706
9 61.37160750968437
10, 61.37160750968437, 61.371607509684374, 
0 63.21783005697173
1 62.53095296049002
2 63.03276256295087
3 63.03276256295088
4 64.01686775168693
5 62.8859293525334
6 66.27920880932187
7 63.115112175607436
8 63.21783005697173
9 63.30017966962829
10, 62.53095296049002, 62.53095296049002, 
0 62.543908109510184
1 61.851072643576906
2 61.851072643576906
3 62.118398119466704
4 62.18531576538775
5 62.18531576538775
6 70.01051980240821
7 62.18531576538775
8 61.851072643576906
9 61.8348040777648
10, 61.8348040777648, 61.38230949953665, 
0 62.03464828361393
1 62.03464828361393
2 62.03464828361393
3 62.03464828361393
4 62.03464828361393
5 62.27136142809928
6 62.351605189573604
7 62.03464828361393
8 62.03464828361393
9 62.03464828361393
10, 62.03464828361393, 62.03464828361393, 
0 67.14929201128304
1 62.887602418133206
2 62.8876024181332
3 72.1460281788767
4 72.1460281788767
5 71.52196776907897
6 63.40257461899917
7 78.12732094243447
8 78.12732094243447
9 62.8876024181332
10, 62.8876024181332, 62.88239544990004, 
0 66.36983655553337
1 66.36983655553337
2 63.14385756848979
3 66.36983655553337
4 66.02633452275427
5 68.60528684739927
6 67.6537129795432
7 63.86452166778981
8 67.37315704890561
9 62.91816149093237
10, 62.91816149093237, 62.9146502961822, 
0 63.08654728299195
1 64.64263435401796
2 62.366545470124116
3 62.366545470124116
4 64.64263435401796
5 63.463431749540625
6 62.366545470124116
7 62.7483428814053
8 62.366545470124116
9 63.73342896328576
10, 62.366545470124116, 62.366545470124116, 
0 62.98527262355167
1 62.98527262355167
2 63.356178214893696
3 63.928971980837446
4 62.580594468010965
5 62.580594468010965
6 62.50615253145102
7 63.928971980837446
8 67.30387203528589
9 62.50615253145102
10, 62.50615253145102, 62.50615253145102, 
0 64.17272536347441
1 64.17272536347441
2 64.1565548575613
3 63.71429155262423
4 64.17272536347441
5 72.23089624164864
6 64.06315952476248
7 64.43830112368825
8 64.17272536347441
9 64.43830112368825
