MILPScheduler, ExhaustiveStarScheduler, TercioScheduler, 
4, 3.2397619191056903, 3.2397619191056903, 3.2397619191056903, 
4, 7.204673849776857, 7.204673849776859, 7.204673849776859, 
4, 3.2706453678724703, 3.270645367872496, 3.270645367872496, 
4, 4.092649320030508, 4.092649320030509, 4.092649320030509, 
4, 1.7023265361785889, 1.7023265500293556, 1.7023265500293556, 
4, 3.7149798796652416, 3.7149798796652416, 3.7149798796652416, 
4, 1.8799816487602798, 1.879981648760281, 1.879981648760281, 
4, 3.92664807666236, 3.92664807666236, 3.92664807666236, 
4, 12.413186620950047, 12.413186620950043, 12.413186620950043, 
4, 3.635248246492616, 3.6352482464926226, 3.6352482464926226, 
4, 2.0782619466958554, 2.0782619466958847, 2.0782619466958847, 
4, 5.171825894787871, 5.1718258947879, 5.1718258947879, 
4, 3.6213067919436677, 3.6213067919453037, 3.6698275531326097, 
4, 4.144072647762874, 4.144072647762883, 4.144072647762883, 
4, 6.575459527396915, 6.575459527397046, 6.575459527397046, 
4, 5.514904143519324, 5.514904143519353, 5.514904143519353, 
4, 6.483869774346557, 6.483869774346557, 6.483869774346557, 
4, 3.409026051259164, 3.409026051259164, 3.409026051259164, 
4, 6.486592580424546, 6.486592580424546, 6.486592580424546, 
4, 3.4455645264230714, 3.445564526423074, 3.445564526423074, 
4, 6.42999914646397, 6.429999146464047, 6.429999146464047, 
4, 4.390351969768268, 4.390351969768268, 4.390351969768268, 
4, 4.474214696340306, 4.474214696340312, 4.474214696340312, 
4, 2.3635528209518957, 2.3635528209525822, 2.3635528209525822, 
4, 8.537986516952515, 8.53798655420486, 8.53798655420486, 
4, 1.966921509058483, 1.9669215090591672, 1.9669215090591672, 
4, 5.312782360877755, 5.312782360877755, 5.312782360877755, 
4, 2.963904167753539, 2.963904167753539, 2.963904167753539, 
4, 1.882258250534285, 1.882258250534285, 1.882258250534285, 
4, 2.929734392755332, 2.9297343927553365, 2.9297343927553365, 
4, 4.621471943584252, 4.621471943584252, 4.681190066704838, 
4, 2.477510601853091, 2.477510601853091, 2.477510601853091, 
4, 7.126631676237656, 7.126631676237656, 7.126631676237656, 
4, 3.765341943760036, 3.765341943760041, 3.765341943760041, 
4, 1.7420061689487571, 1.7420061689487583, 1.7420061689487583, 
4, 7.077513217926025, 7.0775132505745155, 7.0775132505745155, 
4, 9.061366393411664, 9.061366393411678, 9.061366393411678, 
4, 3.699409946857805, 3.6994099468578114, 4.095202023872764, 
4, 3.9809020002407656, 3.9809020002407656, 3.9809020002407656, 
4, 2.36261603934453, 2.3626160393445312, 2.3626160393445312, 
4, 3.2606403827667236, 3.260640408444975, 3.260640408444975, 
4, 6.411116267890201, 6.411116267890221, 6.411116267890221, 
4, 4.579166396770632, 4.579166396770632, 4.579166396770632, 
4, 2.751587488539636, 2.751587488539643, 2.751587488539643, 
4, 5.941818540100309, 5.941818540100309, 5.941818540100309, 
4, 6.687547186124875, 6.687547186124885, 6.687547186124885, 
4, 7.056454501955008, 7.056454501955017, 7.056454501955017, 
4, 3.5111097405230307, 3.511109740523037, 3.511109740523037, 
4, 2.2773686131541573, 2.2773686131541613, 2.2773686131541613, 
4, 2.9070410708369696, 2.9070410708369794, 2.9070410708369794, 
4, 2.6788233208053387, 2.6788233208053387, 2.6788233208053387, 
4, 4.204796834470832, 4.204796834470832, 4.204796834470832, 
4, 2.527595445870077, 2.527595445870079, 2.527595445870079, 
4, 2.51136095646304, 2.5113609564630415, 2.5113609564630415, 
4, 3.213553307042924, 3.213553307042928, 3.213553307042928, 
4, 2.4397561434839554, 2.4397561434839554, 2.4397561434839554, 
4, 6.167150304821401, 6.167150304821428, 6.167150304821428, 
4, 3.9746769268960715, 3.9746769268960715, 3.9746769268960715, 
4, 7.368735503264403, 7.368735503264428, 7.368735503264428, 
4, 4.862740513011018, 4.862740513011065, 4.862740513011065, 
4, 3.7263700511093503, 3.7263700511113735, 3.7263700511113735, 
4, 2.8105146191239756, 2.8105146191239756, 2.8105146191239756, 
4, 5.352250512746824, 5.352250512746836, 5.56575329476331, 
4, 2.008806915823265, 2.008806915823265, 2.008806915823265, 
4, 6.072867119983431, 6.072867119983449, 6.072867119983449, 
4, 4.540943935691035, 4.540943935691068, 4.540943935691068, 
4, 4.695006205313444, 4.695006205313483, 4.695006205313483, 
4, 9.06030071304137, 9.0603007130414, 9.0603007130414, 
4, 4.19266723976311, 4.192667239763153, 4.192667239763153, 
4, 3.972508516603697, 3.972508516603699, 3.972508516603699, 
4, 3.6177664924980872, 3.6177664924981023, 3.6177664924981023, 
4, 4.905447275385952, 4.905447275385951, 4.905447275385952, 
4, 3.229260534540814, 3.229260534540814, 3.229260534540814, 
4, 5.616768082126992, 5.616768082127054, 5.616768082127054, 
4, 2.1194583665611746, 2.1194583665613806, 2.1194583665613806, 
4, 7.454419683634827, 7.45441968363489, 7.45441968363489, 
4, 2.2968523645351793, 2.2968523645351806, 2.2968523645351806, 
4, 4.008032253674871, 4.0080322536750534, 4.040374543458821, 
4, 3.581867234248561, 3.581867234248586, 3.581867234248586, 
4, 4.473199582664665, 4.473199582664681, 4.473199582664681, 
4, 3.315268929898778, 3.3152689298987776, 3.3152689298987776, 
4, 7.538340681247407, 7.538340681247407, 7.538340681247407, 
4, 3.544068960061635, 3.544068960061635, 3.544068960061635, 
4, 6.570797573508602, 6.570797573508605, 6.570797573508605, 
4, 2.4589419864732056, 2.458941986474346, 2.458941986474346, 
4, 3.4067894063522046, 3.406789406352206, 3.406789406352206, 
4, 4.385022745844113, 4.385022745844115, 4.385022745844115, 
4, 7.626202243760815, 7.6262022437608215, 7.6262022437608215, 
4, 6.052542774512253, 6.052542774512253, 6.052542774512253, 
4, 4.0276128498623205, 4.0276128498623205, 4.0276128498623205, 
4, 4.432342662454022, 4.432342662454022, 4.432342662454022, 
4, 3.624834015930589, 3.624834015930589, 3.624834015930589, 
